region,measure,F,pvalue,fdr_significant,pvalue_corrected
7Networks_RH_DorsAttn_FEF_5,gradient2,0.2965979672767756,0.7442223034879001,False,0.8686769872361573
7Networks_RH_DorsAttn_FEF_6,gradient2,5.187887648973698,0.007789613365243732,False,0.07689003978393259
7Networks_RH_DorsAttn_Post_1,gradient2,1.0837868644038613,0.34362055086786736,False,0.5950201365557838
7Networks_RH_DorsAttn_Post_10,gradient2,1.4098220762714484,0.25066797940820884,False,0.5042450649604201
7Networks_RH_DorsAttn_Post_11,gradient2,0.8733004111203087,0.4218296868160232,False,0.6606970998323255
7Networks_RH_DorsAttn_Post_12,gradient2,0.6131889938206895,0.5443497302236108,False,0.7406938274357716
7Networks_RH_DorsAttn_Post_13,gradient2,1.5789725112040158,0.21305390151081222,False,0.4654959192673208
7Networks_RH_DorsAttn_Post_14,gradient2,3.3760747403762488,0.0395250339262748,False,0.19171861723559686
7Networks_RH_DorsAttn_Post_15,gradient2,2.8804225185689423,0.06242420337289338,False,0.24684856086619436
7Networks_RH_DorsAttn_Post_16,gradient2,2.623921962537659,0.07925702805740334,False,0.27293810986655453
7Networks_RH_DorsAttn_Post_17,gradient2,1.9299644238305127,0.15238967311529333,False,0.4005754563274816
7Networks_RH_DorsAttn_Post_18,gradient2,1.1360001686357135,0.32663564715947474,False,0.5806855949501774
7Networks_RH_DorsAttn_Post_19,gradient2,6.159212148197334,0.003355397570879947,True,0.04780292429746774
7Networks_RH_DorsAttn_Post_2,gradient2,4.878712332893936,0.010226121785432871,False,0.08717349718729661
7Networks_RH_DorsAttn_Post_20,gradient2,4.790592461148275,0.011054987335294355,False,0.09124751451354071
7Networks_RH_DorsAttn_Post_21,gradient2,0.7194538643602091,0.4903928597071484,False,0.7047384941263107
7Networks_RH_DorsAttn_Post_22,gradient2,2.8341869809860527,0.06516184298594903,False,0.25192682790106685
7Networks_RH_DorsAttn_Post_23,gradient2,0.07112581376124524,0.9314082992300993,False,0.9700274334532967
7Networks_RH_DorsAttn_Post_24,gradient2,4.09348713981571,0.020599796037184696,False,0.1298411386586187
7Networks_RH_DorsAttn_Post_25,gradient2,1.258362238149524,0.29012684921179965,False,0.5353376546360161
7Networks_RH_DorsAttn_Post_26,gradient2,3.6698523509543017,0.030225796105853502,False,0.16040696988619702
7Networks_RH_DorsAttn_Post_27,gradient2,1.2576821770702757,0.29031772809107026,False,0.5353376546360161
7Networks_RH_DorsAttn_Post_28,gradient2,0.667955935564115,0.51581955611766,False,0.7200702528353911
7Networks_RH_DorsAttn_Post_29,gradient2,2.06028604476132,0.13466454675833364,False,0.37319788286083627
7Networks_RH_DorsAttn_Post_3,gradient2,1.7038958715392825,0.1890342655629917,False,0.44316200181708465
7Networks_RH_DorsAttn_Post_30,gradient2,0.49255521313075373,0.6130520109912658,False,0.7900546362217057
7Networks_RH_DorsAttn_Post_31,gradient2,0.019336728507311975,0.9808539811457456,False,0.9905323048798041
7Networks_RH_DorsAttn_Post_32,gradient2,1.4979117392601915,0.23029706749013723,False,0.481909356518597
7Networks_RH_DorsAttn_Post_33,gradient2,1.8510776822437154,0.1642669510709105,False,0.4171705778089871
7Networks_RH_DorsAttn_Post_34,gradient2,0.07210255851209056,0.9305007509329641,False,0.9700274334532967
7Networks_RH_DorsAttn_Post_35,gradient2,5.4623961331153925,0.006127698391111661,False,0.06708217186059082
7Networks_RH_DorsAttn_Post_36,gradient2,1.0765267221767936,0.3460530906844598,False,0.5968411514292506
7Networks_RH_DorsAttn_Post_37,gradient2,2.3998935290351695,0.09775680659566957,False,0.30996060627895233
7Networks_RH_DorsAttn_Post_38,gradient2,6.36862133773243,0.0028052139074781933,True,0.04354361886234808
7Networks_RH_DorsAttn_Post_39,gradient2,2.2520855996166627,0.11234209319952077,False,0.33558052328816024
7Networks_RH_DorsAttn_Post_4,gradient2,0.18518611180436767,0.8313335163017155,False,0.9112291215310695
7Networks_RH_DorsAttn_Post_40,gradient2,3.8257395498807854,0.026236357919973183,False,0.14779242332570036
7Networks_RH_DorsAttn_Post_41,gradient2,3.927474078536169,0.023928249710598575,False,0.1413942028353552
7Networks_RH_DorsAttn_Post_42,gradient2,1.7289566539726815,0.18456072486342315,False,0.44130402580307254
7Networks_RH_DorsAttn_Post_43,gradient2,0.07565317157074145,0.9272093215540849,False,0.9700274334532967
7Networks_RH_DorsAttn_Post_44,gradient2,1.7839607341582917,0.1751192656826046,False,0.4327981999615653
7Networks_RH_DorsAttn_Post_45,gradient2,0.7090558797471047,0.49542098995491046,False,0.7067656094166569
7Networks_RH_DorsAttn_Post_46,gradient2,10.15663173595337,0.00012658464772969744,True,0.005485334734953555
7Networks_RH_DorsAttn_Post_47,gradient2,3.9864945823773725,0.022685850461240355,False,0.137315306404281
7Networks_RH_DorsAttn_Post_48,gradient2,2.3649819396134903,0.10101635623143947,False,0.3154865179600512
7Networks_RH_DorsAttn_Post_49,gradient2,3.6052655836037637,0.03205653968618364,False,0.167531664691613
7Networks_RH_DorsAttn_Post_5,gradient2,1.8564205973307433,0.16343328354460582,False,0.41659464432938736
7Networks_RH_DorsAttn_Post_50,gradient2,3.4626547999449278,0.03651337316299738,False,0.18268074469346826
7Networks_RH_DorsAttn_Post_51,gradient2,1.3958591991179687,0.25406295513492677,False,0.5071184349273745
7Networks_RH_DorsAttn_Post_52,gradient2,2.812881763368348,0.06646454987982045,False,0.2541291613051958
7Networks_RH_DorsAttn_Post_6,gradient2,0.5016726166630491,0.6075614050564655,False,0.7879856574142159
