measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_Default_PFC_37,-1.05210677934767,0.6810449245922002
eccentricity,baseline,early,7Networks_LH_Default_PFC_38,-0.5597001144244482,0.7416574448094568
eccentricity,baseline,early,7Networks_LH_Default_PFC_39,-1.9092257914412314,0.17002820490065573
eccentricity,baseline,early,7Networks_LH_Default_PFC_4,-2.3360383547632333,0.06660187584039677
eccentricity,baseline,early,7Networks_LH_Default_PFC_40,-0.916636114454535,0.543466568389269
eccentricity,baseline,early,7Networks_LH_Default_PFC_41,-0.7960344505590884,0.7483749064960403
eccentricity,baseline,early,7Networks_LH_Default_PFC_42,0.22965876581363937,0.8189905539771789
eccentricity,baseline,early,7Networks_LH_Default_PFC_43,-1.426028929187049,0.4741952512540924
eccentricity,baseline,early,7Networks_LH_Default_PFC_44,-1.2162361034217433,0.40150086868713725
eccentricity,baseline,early,7Networks_LH_Default_PFC_45,1.1081820224960024,0.5499010184544704
eccentricity,baseline,early,7Networks_LH_Default_PFC_46,-3.1036196035985406,0.008122581253461552
eccentricity,baseline,early,7Networks_LH_Default_PFC_47,-1.6678121723156032,0.2987390576776946
eccentricity,baseline,early,7Networks_LH_Default_PFC_48,0.015434375400805226,0.9877271767825886
eccentricity,baseline,early,7Networks_LH_Default_PFC_49,-0.2473919881097312,0.8286055708351154
eccentricity,baseline,early,7Networks_LH_Default_PFC_5,1.3383891987998864,0.36343047206215684
eccentricity,baseline,early,7Networks_LH_Default_PFC_50,-0.14071194686286748,0.9750287472681775
eccentricity,baseline,early,7Networks_LH_Default_PFC_6,-0.26379709491948466,0.7926695009577802
eccentricity,baseline,early,7Networks_LH_Default_PFC_7,-0.07243342571501388,0.9424524059216071
eccentricity,baseline,early,7Networks_LH_Default_PFC_8,-3.212025765763518,0.005856010789664672
eccentricity,baseline,early,7Networks_LH_Default_PFC_9,1.339897182196666,0.5388316302451982
eccentricity,baseline,early,7Networks_LH_Default_PHC_1,1.737531895725261,0.2593607521501849
eccentricity,baseline,early,7Networks_LH_Default_PHC_2,0.5640807550961998,0.8780479020926313
eccentricity,baseline,early,7Networks_LH_Default_PHC_3,1.4791224577281101,0.21502811078214176
eccentricity,baseline,early,7Networks_LH_Default_Par_1,-0.445896901867514,0.9096027149953487
eccentricity,baseline,early,7Networks_LH_Default_Par_10,-1.344009036978641,0.27457753268077384
eccentricity,baseline,early,7Networks_LH_Default_Par_11,-0.8028857228465592,0.6369180565841457
eccentricity,baseline,early,7Networks_LH_Default_Par_12,0.2021558808295688,0.8403496006791527
eccentricity,baseline,early,7Networks_LH_Default_Par_13,-1.229150976293952,0.33436409826993224
eccentricity,baseline,early,7Networks_LH_Default_Par_14,0.029806825299551448,0.97630135887421
eccentricity,baseline,early,7Networks_LH_Default_Par_15,-1.7571945509112843,0.24906228113897158
eccentricity,baseline,early,7Networks_LH_Default_Par_16,-1.9908016358596639,0.15058639625869757
eccentricity,baseline,early,7Networks_LH_Default_Par_17,-0.015302677520200302,0.987831889564903
eccentricity,baseline,early,7Networks_LH_Default_Par_18,-0.465271323489657,0.6431035102948003
eccentricity,baseline,early,7Networks_LH_Default_Par_19,-0.8456051533010676,0.6144038527956255
eccentricity,baseline,early,7Networks_LH_Default_Par_2,-0.31297800499499495,0.9431967278927674
eccentricity,baseline,early,7Networks_LH_Default_Par_3,-0.031788443615293024,0.9747263460802988
eccentricity,baseline,early,7Networks_LH_Default_Par_4,-0.07752210492981798,0.9384174358412289
eccentricity,baseline,early,7Networks_LH_Default_Par_5,-0.6326122734715365,0.7726531017748203
eccentricity,baseline,early,7Networks_LH_Default_Par_6,-0.5844505125109718,0.8410423390790137
eccentricity,baseline,early,7Networks_LH_Default_Par_7,-1.244332633979729,0.3914305581736017
eccentricity,baseline,early,7Networks_LH_Default_Par_8,0.6777280036179081,0.7910612103242479
eccentricity,baseline,early,7Networks_LH_Default_Par_9,-0.5177297812912246,0.8907907236245081
eccentricity,baseline,early,7Networks_LH_Default_Temp_1,0.5206335695300432,0.6041764149988325
eccentricity,baseline,early,7Networks_LH_Default_Temp_10,-1.137040639763188,0.6179046003750837
eccentricity,baseline,early,7Networks_LH_Default_Temp_11,-0.8623777453049559,0.641319985872764
eccentricity,baseline,early,7Networks_LH_Default_Temp_12,0.9200406681781218,0.540811540297936
eccentricity,baseline,early,7Networks_LH_Default_Temp_13,-3.0518273719721862,0.009473192682811304
eccentricity,baseline,early,7Networks_LH_Default_Temp_14,-1.238260422671866,0.3293002062344431
eccentricity,baseline,early,7Networks_LH_Default_Temp_15,-2.3077714146965853,0.07142854777668607
eccentricity,baseline,early,7Networks_LH_Default_Temp_16,-1.3255897319329675,0.2835802000631878
eccentricity,baseline,early,7Networks_LH_Default_Temp_17,-3.096017311875704,0.008308906366808222
eccentricity,baseline,early,7Networks_LH_Default_Temp_18,-2.6186167447024147,0.03210905056469779
eccentricity,baseline,early,7Networks_LH_Default_Temp_19,-2.3332465571299146,0.06445667180085089
eccentricity,baseline,early,7Networks_LH_Default_Temp_2,0.7496534420738015,0.8209473470172786
eccentricity,baseline,early,7Networks_LH_Default_Temp_20,0.573778619690987,0.5678574836305366
eccentricity,baseline,early,7Networks_LH_Default_Temp_21,-3.353527648449167,0.0037810837967451843
eccentricity,baseline,early,7Networks_LH_Default_Temp_22,-1.3836390706498638,0.25594301538564007
eccentricity,baseline,early,7Networks_LH_Default_Temp_3,1.328249334949877,0.2789874638753065
eccentricity,baseline,early,7Networks_LH_Default_Temp_4,-0.19830388151633221,0.8433510962689864
eccentricity,baseline,early,7Networks_LH_Default_Temp_5,-0.4099533711186454,0.6830245588133403
eccentricity,baseline,early,7Networks_LH_Default_Temp_6,0.40353267818716754,0.6877200877910375
eccentricity,baseline,early,7Networks_LH_Default_Temp_7,-0.29713434505387765,0.7671964291882696
eccentricity,baseline,early,7Networks_LH_Default_Temp_8,1.7818300967170826,0.2366387302638258
eccentricity,baseline,early,7Networks_LH_Default_Temp_9,-0.1575946626234783,0.8752054414675352
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_1,4.337284802861071,0.00013477273695034958
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_10,2.921680692729949,0.013842089686824056
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_11,-0.2906268598547609,0.7721496641587081
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_12,2.180472822642088,0.08093399283553494
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_13,1.4603078256391169,0.4453147754364013
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_14,0.2860157451348992,0.7756652161738267
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_15,1.0010619400177743,0.48008867706137054
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_16,0.7326746095821898,0.5091130445289189
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_17,-0.21639448638014916,0.8292756919598789
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_18,1.3829339404245022,0.32795288309558673
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_19,0.3960114395134389,0.6932361147993447
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_2,3.2027016300667186,0.006024800695273423
