,comp,region_idx,diff,tstat,pvalue,signif
28031,ecc,120,early_learning_2_late_learning,0.14536207038000604,0.8847999929181063,0
28036,ecc,121,baseline_2_early_learning,0.12316906447357515,0.9022900452286777,0
28037,ecc,121,baseline_2_late_learning,-0.870110572826704,0.38690987232286467,0
28040,ecc,121,early_learning_2_late_learning,-0.957001296700236,0.3415234545443575,0
28045,ecc,122,baseline_2_early_learning,-0.07755765815280208,0.9383785333791108,0
28046,ecc,122,baseline_2_late_learning,-0.21442872562500392,0.8307723410820014,0
28049,ecc,122,early_learning_2_late_learning,-0.12301625077971295,0.9024106538556186,0
28054,ecc,123,baseline_2_early_learning,-1.6503640813525458,0.1028898426938913,0
28055,ecc,123,baseline_2_late_learning,-1.60023519055706,0.11358928225887086,0
28058,ecc,123,early_learning_2_late_learning,0.1163631939804102,0.9076637844657415,0
28063,ecc,124,baseline_2_early_learning,1.1425285454279304,0.25672935971042243,0
28064,ecc,124,baseline_2_late_learning,0.45035362207231666,0.6537047683756076,0
28067,ecc,124,early_learning_2_late_learning,-0.6907075016643012,0.49179975033677104,0
28072,ecc,125,baseline_2_early_learning,-0.5984226606069268,0.5512917872979939,0
28073,ecc,125,baseline_2_late_learning,-0.0720853540949242,0.9427185022787546,0
28076,ecc,125,early_learning_2_late_learning,0.5347567431919126,0.594339238490248,0
28081,ecc,126,baseline_2_early_learning,0.244870127118885,0.8072000535464576,0
28082,ecc,126,baseline_2_late_learning,-0.06827655289398103,0.9457402135435427,0
28085,ecc,126,early_learning_2_late_learning,-0.3585236895143744,0.7209200017719121,0
28090,ecc,127,baseline_2_early_learning,-1.0426570259713532,0.3003280545882159,0
28091,ecc,127,baseline_2_late_learning,-0.5093685331193591,0.6119320047659705,0
28094,ecc,127,early_learning_2_late_learning,0.46639358803235853,0.6422337737231376,0
28099,ecc,128,baseline_2_early_learning,-0.04962327568195139,0.9605494496348057,0
28100,ecc,128,baseline_2_late_learning,0.21994542591979227,0.826488277351316,0
28103,ecc,128,early_learning_2_late_learning,0.26431433592462655,0.7922348529015625,0
28108,ecc,129,baseline_2_early_learning,-0.20339918535095836,0.8393527343368992,0
28109,ecc,129,baseline_2_late_learning,-1.1423860143145887,0.25678821384660416,0
28112,ecc,129,early_learning_2_late_learning,-0.9296433664385125,0.35542396759054606,0
28117,ecc,130,baseline_2_early_learning,0.2525364147842215,0.8012907792131577,0
